model_key,model_id,attempt_count,pass_count,fail_count,hard_fail_count,warning_count,length_ratio_warning_count,cleanup_noop_warning_count,term_language_drift_warning_count,pass_rate,json_parse_pass_rate,schema_pass_rate,id_exact_pass_rate,language_pass_rate,retry_attempted_count,retry_recovered_count,retry_dependency_rate,finish_length_count,median_latency_ms,p95_latency_ms
gemma4_12b_qat,google/gemma-4-12b-qat,5,5,0,0,10,0,0,0,1.0,1.0,1.0,,1.0,0,0,,0,2497.363,2847.462
gemma4_e2b,google/gemma-4-e2b,5,5,0,0,10,0,0,0,1.0,1.0,1.0,,1.0,0,0,,0,895.713,966.604
gemma4_e4b,google/gemma-4-e4b,5,5,0,0,10,0,0,0,1.0,1.0,1.0,,1.0,0,0,,0,957.289,996.651
